species	assembly_name	base_pairs	golden_path_length	coding_genes_alternative	non_coding_genes_alternative	small_non_coding_genes_alternative	long_non_coding_genes_alternative	misc_non_coding_genes_alternative	pseudogenes_alternative	gene_transcripts_alternative	coding_genes	non_coding_genes	small_non_coding_genes	long_non_coding_genes	misc_non_coding_genes	pseudogenes	gene_transcripts	genscan_gene_predictions	short_variants	structural_variants	fgenesh_gene_prediction	total_length	ungapped_length	n50	spanned_gaps	unspanned_gaps	scaffold_count	count_contig	contig_N50	contig_L50	contig_N75	contig_N90	scaf_L50	scaf_N75	scaf_N90	replicon_count	count_non_chromosome_replicon	count_alt_loci_units	count_regions	count_patches	domain	kingdom	phylum	class	order	family	genus	3prime_overlapping_ncRNA	antisense	artifact	bidirectional_promoter_lncRNA	IG_C_gene	IG_C_pseudogene	IG_D_gene	IG_D_pseudogene	IG_J_gene	IG_J_pseudogene	IG_LV_gene	IG_pseudogene	IG_V_gene	IG_V_pseudogene	lincRNA	lncRNA	macro_lncRNA	miRNA	misc_RNA	Mt_rRNA	Mt_tRNA	ncRNA	nontranslating_CDS	polymorphic_pseudogene	pre_miRNA	processed_pseudogene	processed_transcript	protein_coding	pseudogene	ribozyme	rRNA	rRNA_pseudogene	scaRNA	scRNA	sense_intronic	sense_overlapping	snoRNA	snRNA	sRNA	TEC	TR_C_gene	TR_D_gene	TR_J_gene	TR_J_pseudogene	TR_V_gene	TR_V_pseudogene	transcribed_processed_pseudogene	transcribed_unitary_pseudogene	transcribed_unprocessed_pseudogene	translated_processed_pseudogene	translated_unprocessed_pseudogene	transposable_element	tRNA	unitary_pseudogene	unknown_likely_coding	unprocessed_pseudogene	vault_RNA	Y_RNA	3prime_overlapping_ncRNA_proportion	antisense_proportion	artifact_proportion	bidirectional_promoter_lncRNA_proportion	IG_C_gene_proportion	IG_C_pseudogene_proportion	IG_D_gene_proportion	IG_D_pseudogene_proportion	IG_J_gene_proportion	IG_J_pseudogene_proportion	IG_LV_gene_proportion	IG_pseudogene_proportion	IG_V_gene_proportion	IG_V_pseudogene_proportion	lincRNA_proportion	lncRNA_proportion	macro_lncRNA_proportion	miRNA_proportion	misc_RNA_proportion	Mt_rRNA_proportion	Mt_tRNA_proportion	ncRNA_proportion	nontranslating_CDS_proportion	polymorphic_pseudogene_proportion	pre_miRNA_proportion	processed_pseudogene_proportion	processed_transcript_proportion	protein_coding_proportion	pseudogene_proportion	ribozyme_proportion	rRNA_proportion	rRNA_pseudogene_proportion	scaRNA_proportion	scRNA_proportion	sense_intronic_proportion	sense_overlapping_proportion	snoRNA_proportion	snRNA_proportion	sRNA_proportion	TEC_proportion	TR_C_gene_proportion	TR_D_gene_proportion	TR_J_gene_proportion	TR_J_pseudogene_proportion	TR_V_gene_proportion	TR_V_pseudogene_proportion	transcribed_processed_pseudogene_proportion	transcribed_unitary_pseudogene_proportion	transcribed_unprocessed_pseudogene_proportion	translated_processed_pseudogene_proportion	translated_unprocessed_pseudogene_proportion	transposable_element_proportion	tRNA_proportion	unitary_pseudogene_proportion	unknown_likely_coding_proportion	unprocessed_pseudogene_proportion	vault_RNA_proportion	Y_RNA_proportion	total_genes	label	species_name
sander lucioperca	GCA_008315115.1	900477767	900477767	NA	NA	NA	NA	NA	NA	NA	24521	1262	790	455	17	335	63087	57963	NA	NA	NA	900461225	900436657	4929547	35	0	1312	1347	4695595	54	1777104	547970	52	1794557	573747	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Percidae	Sander	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	453	0	97	17	2	22	0	0	0	0	61	0	24470	274	2	173	0	12	0	0	0	271	208	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00176123746075503	0	0	0.0173443602113485	0	0.00371391377593996	0.000650892105061643	7.6575541771958e-05	0.000842330959491538	0	0	0	0	0.00233555402404472	0	0.936901753579907	0.0104908492227583	7.6575541771958e-05	0.00662378436327437	0	0.000459453250631748	0	0	0	0.0103759859101003	0.00796385634428364	0	0	0	0	0.000191438854429895	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000153151083543916	3.8287770885979e-05	26118	Actinopteri	S.lucioperca
seriola dumerili	GCA_002260705.1	677686174	677686174	NA	NA	NA	NA	NA	NA	NA	23278	526	504	2	20	41	33754	37425	NA	NA	NA	677669644	672111389	5812906	6532	0	34655	41187	249755	770	121621	55449	29	2179008	894121	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Carangiformes	Carangidae	Seriola	0	0	0	0	0	0	0	0	7	0	0	0	24	0	0	0	0	125	20	2	22	0	0	0	0	1	0	23241	40	2	40	0	13	0	0	0	235	66	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00029356259173831	0	0	0	0.00100650031453135	0	0	0	0	0.00524218913818411	0.000838750262109457	8.38750262109457e-05	0.000922625288320403	0	0	0	0	4.19375131054728e-05	0	0.974669742084294	0.00167750052421891	8.38750262109457e-05	0.00167750052421891	0	0.000545187670371147	0	0	0	0.00985531557978612	0.00276787586496121	4.19375131054728e-05	0	0	0	0.000251625078632837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23845	Actinopteri	S.dumerili
sparus aurata	GCA_900880675.1	833578411	833578411	NA	NA	NA	NA	NA	NA	NA	25222	2273	711	1542	20	219	73317	54874	NA	NA	NA	833578411	833236149	35791275	1048	0	175	1223	2862625	75	953969	306374	11	31047742	28386240	24	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Spariformes	Sparidae	Sparus	0	0	0	0	0	0	0	0	8	0	0	0	56	0	0	1540	0	118	20	0	0	0	0	0	0	30	0	25156	189	2	98	0	8	0	0	0	251	182	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	52	2	0	0	0	0	0	0	0	0	0.000288662769719275	0	0	0	0.00202063938803493	0	0	0.0555675831709605	0	0.00425777585335931	0.000721656924298189	0	0	0	0	0	0	0.00108248538644728	0	0.907700079382262	0.00681965793461788	7.21656924298189e-05	0.00353611892906112	0	0.000288662769719275	0	0	0	0.00905679439994227	0.00656707801111352	0	0	0	0	7.21656924298189e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00187630800317529	7.21656924298189e-05	27714	Actinopteri	S.aurata
sus scrofa	GCA_000003025.6	2501912388	2501912388	NA	NA	NA	NA	NA	NA	NA	22063	13154	2165	10972	17	453	60273	NA	71431048	224038	NA	2501895775	2472031134	88231837	413	93	705	1117	48231277	15	19474953	8753188	9	52130888	23010887	20	0	0	2	0	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	10965	0	388	17	2	22	0	0	0	0	229	0	22040	224	7	21	0	25	0	0	0	591	1104	0	0	0	0	4	0	8	0	0	0	0	0	0	0	0	0	0	0	3	9	0	0	0	0	2.80347631062518e-05	0	0	0	0	0	0	0	0.000280347631062518	0	0	0.30740117746005	0	0.0108774880852257	0.00047659097280628	5.60695262125035e-05	0.000616764788337539	0	0	0	0	0.00641996075133165	0	0.617886178861789	0.00627978693580039	0.000196243341743762	0.000588730025231287	0	0.000700869077656294	0	0	0	0.0165685449957948	0.0309503784693019	0	0	0	0	0.000112139052425007	0	0.000224278104850014	0	0	0	0	0	0	0	0	0	0	0	8.41042893187553e-05	0.000252312867956266	35670	Livestock	S.scrofa
taeniopygia guttata	GCA_003957565.2	1057995280	1057995280	NA	NA	NA	NA	NA	NA	NA	16619	5399	638	4759	2	132	38869	37466	1581781	NA	NA	1058012133	1055677902	70430603	309	0	135	444	11998827	22	4938192	1805279	6	22017011	11044519	34	1	0	0	0	Eukaryota	Metazoa	Chordata	Aves	Passeriformes	Estrildidae	Taeniopygia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4757	0	210	2	0	0	0	0	0	0	3	0	16619	129	2	137	0	16	0	0	0	214	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214762979683973	0	0.00948081264108352	9.0293453724605e-05	0	0	0	0	0	0	0.000135440180586907	0	0.750293453724605	0.00582392776523702	9.0293453724605e-05	0.00618510158013544	0	0.00072234762979684	0	0	0	0.00966139954853273	0.00257336343115124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018058690744921	22150	Aves	T.guttata
tupaia belangeri	NA	3670341392	3670341392	NA	NA	NA	NA	NA	NA	NA	15471	3073	2926	NA	147	2313	20861	101619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eukaryota	Metazoa	Chordata	Mammalia	Scandentia	Tupaiidae	Tupaia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640	147	2	22	0	0	0	0	0	0	15471	2313	0	86	0	0	0	0	0	706	1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0306851416790526	0.00704799347940739	9.58910677470394e-05	0.00105480174521743	0	0	0	0	0	0	0.741765354557223	0.110898019849451	0	0.00412331591312269	0	0	0	0	0	0.0338495469147049	0.0704799347940739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20857	Mammalia	T.belangeri
rattus norvegicus	GCA_015227675.2	2647915728	2647915728	NA	NA	NA	NA	NA	NA	NA	23139	6503	3952	2524	27	918	54991	57986	9611767	NA	NA	2647915728	2626580772	135012528	581	0	176	757	29198295	27	11598423	3777362	8	104886043	83828827	23	1	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Rattus	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	2488	0	444	27	2	22	0	0	0	0	192	0	23096	726	36	210	0	37	0	0	0	1706	1512	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0.0012434554973822	0	0	0.081413612565445	0	0.0145287958115183	0.000883507853403141	6.54450261780105e-05	0.000719895287958115	0	0	0	0	0.00628272251308901	0	0.755759162303665	0.0237565445026178	0.00117801047120419	0.0068717277486911	0	0.00121073298429319	0	0	0	0.0558246073298429	0.0494764397905759	0	0	6.54450261780105e-05	0	6.54450261780105e-05	0	3.27225130890052e-05	0	0	0	0	0	0	0	0	0	0	0	3.27225130890052e-05	0.000589005235602094	30560	Mammalia	R.norvegicus
poecilia reticulata	GCA_000633615.2	731622281	731622281	NA	NA	NA	NA	NA	NA	NA	22871	358	338	2	18	25	34730	39344	NA	NA	NA	731622281	664638573	5270359	37115	261	3029	40144	41908	4424	18672	7763	43	2476086	1021883	24	1	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	67	18	2	22	0	0	0	0	1	0	22857	24	2	19	0	8	0	0	0	169	50	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000516040251139589	0	0	0	0	0.00288122473552937	0.000774060376709383	8.60067085232648e-05	0.000946073793755913	0	0	0	0	4.30033542616324e-05	0	0.982927668358132	0.00103208050227918	8.60067085232648e-05	0.000817063730971016	0	0.000344026834093059	0	0	0	0.00726756687021588	0.00215016771308162	4.30033542616324e-05	0	0	0	8.60067085232648e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23254	Actinopteri	P.reticulata
poecilia mexicana	GCA_001443325.1	801711499	801711499	NA	NA	NA	NA	NA	NA	NA	24074	359	343	2	14	42	35365	46082	NA	NA	NA	801711499	679832124	275316	32496	0	18105	50601	39840	4911	19045	7877	877	130019	54187	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Actinopteri	P.mexicana
oncorhynchus mykiss	GCA_013265735.3	2341671972	2341671972	NA	NA	NA	NA	NA	NA	NA	48326	15627	12813	2555	259	541	138376	64706	NA	NA	NA	2341671972	2335487453	39165350	290	196	938	1228	15579713	41	4891789	1177001	22	14283742	2463446	32	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	0	0	0	0	0	0	36	0	2	0	0	0	44	0	0	2436	0	301	259	0	0	0	0	0	0	33	0	48164	508	119	9876	0	17	0	0	0	1100	1508	0	0	0	0	4	0	76	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	0	0	0	0.000558191459670667	0	3.10106366483704e-05	0	0	0	0.000682234006264149	0	0	0.0377709554377151	0	0.00466710081557974	0.00401587744596397	0	0	0	0	0	0	0.000511675504698111	0	0.746798151766056	0.00787670170868608	0.00184513288057804	0.153130523769653	0	0.000263590411511148	0	0	0	0.0170558501566037	0.0233820200328713	0	0	0	0	6.20212732967408e-05	0	0.00117840419263807	0	0	0	0	0	0	0	0	0	0	0	0.000139547864917667	3.10106366483704e-05	64494	Actinopteri	O.mykiss
piliocolobus tephrosceles	GCA_002776525.2	3038007327	3038007327	NA	NA	NA	NA	NA	NA	NA	24588	12219	3549	6770	1900	836	55722	58440	NA	NA	NA	3038007327	2949702452	13534873	63620	0	47449	111069	98446	8493	45210	17161	60	4942258	741653	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Piliocolobus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mammalia	P.tephrosceles
petromyzon marinus	NA	885550958	885550958	NA	NA	NA	NA	NA	NA	NA	10415	2652	2623	NA	29	47	14141	34895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eukaryota	Metazoa	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	29	2	22	0	0	0	0	1	0	10415	46	0	1862	0	0	0	0	0	57	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0251639469269483	0.00221137715418637	0.000152508769254232	0.00167759646179655	0	0	0	0	7.62543846271161e-05	0	0.794189415891414	0.00350770169284734	0	0.14198566417569	0	0	0	0	0	0.00434649992374562	0.0266890346194906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13114	Hyperoartia	P.marinus
pan troglodytes	GCA_000001515.5	3231170666	3231170666	NA	NA	NA	NA	NA	NA	NA	23534	9710	5640	1786	2284	485	61457	59841	1569627	NA	NA	3231154112	3132603083	26972556	26715	1066	45510	72225	384816	2195	173799	53112	38	7446891	729101	25	0	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pan	0	0	0	0	30	0	0	0	0	0	0	0	108	0	1778	0	0	2241	2284	2	22	0	0	0	0	232	0	23302	253	8	547	0	47	0	0	0	878	1903	0	0	13	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00088944231966557	0	0	0	0	0	0	0	0.00320199235079605	0	0.0527142814788461	0	0	0.0664413412790181	0.067716208603872	5.92961546443713e-05	0.000652257701088084	0	0	0	0	0.00687835393874707	0	0.69085949776157	0.00750096356251297	0.000237184618577485	0.0162174982952356	0	0.00139345963414273	0	0	0	0.026031011888879	0.0564202911441193	0	0	0.000385425005188414	0	0	0	0.00240149426309704	0	0	0	0	0	0	0	0	0	0	0	0	0	33729	Mammalia	P.troglodytes
papio anubis	GCA_008728515.1	2869821163	2869821163	NA	NA	NA	NA	NA	NA	NA	21882	11146	4490	3200	3456	807	57471	91629	NA	NA	NA	2869804647	2867493934	140274886	4068	0	11144	15212	1464978	545	676560	286749	9	106849001	72894408	22	0	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Papio	0	0	0	0	3	0	0	0	0	0	0	0	75	0	0	3196	0	443	3456	2	22	0	0	0	0	381	0	21731	426	4	111	0	44	0	0	0	1328	1850	0	0	6	0	17	0	50	0	0	0	0	0	0	0	0	0	0	0	7	683	0	0	0	0	8.86655829762081e-05	0	0	0	0	0	0	0	0.0022166395744052	0	0	0.094458401063987	0	0.0130929510861534	0.102142751588592	5.91103886508054e-05	0.000650214275158859	0	0	0	0	0.0112605290379784	0	0.642263927885326	0.0125905127826215	0.000118220777301611	0.0032806265701197	0	0.00130042855031772	0	0	0	0.0392492980641348	0.054677109501995	0	0	0.000177331165952416	0	0.000502438303531846	0	0.00147775971627013	0	0	0	0	0	0	0	0	0	0	0	0.000206886360277819	0.02018619772425	33835	Mammalia	P.anubis
ovis aries	GCA_000298735.1	2619054388	2619054388	NA	NA	NA	NA	NA	NA	NA	20921	5843	3624	1858	361	290	29118	43449	60323418	2	NA	2619037772	2534327564	100079507	125067	0	5697	130764	40376	18404	21240	10675	8	71719816	50832532	27	0	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Ovis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1858	0	0	1305	361	2	22	0	0	0	0	43	0	20921	247	0	305	0	0	0	0	0	756	1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0686774598950248	0	0	0.0482368596141051	0.0133436830043616	7.39262216308125e-05	0.000813188437938937	0	0	0	0	0.00158941376506247	0	0.773305241369114	0.00912988837140534	0	0.0112737487986989	0	0	0	0	0	0.0279441117764471	0.0456124787462113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27054	Livestock	O.aries
amphiprion percula	GCA_003047355.1	908939294	908939294	NA	NA	NA	NA	NA	NA	NA	23926	875	849	3	23	39	35899	48033	NA	NA	NA	908939294	908906862	38416550	682	0	365	1047	3123421	84	1673771	772380	12	35137006	29768437	24	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri		Pomacentridae	Amphiprion	0	0	0	0	0	0	0	0	12	0	0	0	40	0	0	0	0	123	23	0	0	0	0	0	0	0	0	23872	39	3	407	0	12	0	0	0	221	81	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000483091787439614	0	0	0	0.00161030595813205	0	0	0	0	0.00495169082125604	0.000925925925925926	0	0	0	0	0	0	0	0	0.961030595813204	0.00157004830917874	0.000120772946859903	0.0163848631239936	0	0.000483091787439614	0	0	0	0.00889694041867955	0.00326086956521739	0.000201288244766506	0	0	0	8.05152979066023e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24840	Actinopteri	A.percula
anser cygnoides	GCA_002166845.1	1130276682	1130276682	NA	NA	NA	NA	NA	NA	NA	15439	3943	389	3551	3	66	32080	42160	NA	NA	NA	1130276682	1100672068	5027881	63061	0	1801	64862	35039	8873	17498	8530	71	2075990	812550	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Aves	Anseriformes	Anatidae	Anser	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Aves	A.cygnoides
astyanax mexicanus	GCA_000372685.2	1335239194	1335239194	NA	NA	NA	NA	NA	NA	NA	26698	680	652	7	21	42	41410	59833	NA	NA	NA	1335239194	1291596431	35377769	615	0	2415	3030	1767240	198	759605	257839	16	4674723	290494	25	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Characiformes	Characidae	Astyanax	0	0	0	0	0	0	0	0	4	0	0	0	28	0	0	0	0	38	21	0	0	0	0	0	0	0	0	26662	42	7	246	0	10	0	0	0	234	123	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000145878920495988	0	0	0	0.00102115244347192	0	0	0	0	0.00138584974471189	0.000765864332603939	0	0	0	0	0	0	0	0	0.97235594456601	0.00153172866520788	0.00025528811086798	0.00897155361050328	0	0.000364697301239971	0	0	0	0.00853391684901532	0.00448577680525164	3.64697301239971e-05	0	0	0	0.000145878920495988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27420	Actinopteri	A.mexicanus
betta splendens	GCA_900634795.2	441371523	441371523	NA	NA	NA	NA	NA	NA	NA	22388	3726	1263	2448	15	613	62753	32128	NA	NA	NA	441371523	441342254	20129463	328	0	69	397	2497747	48	1132902	582780	9	18063741	16455974	21	0	0	0	0	Eukaryota	Metazoa	Chordata	Actinopteri	Anabantiformes	Osphronemidae	Betta	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	2441	0	79	15	0	0	0	0	0	0	26	0	22369	587	7	741	0	6	0	0	0	167	265	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	3.74153477756576e-05	0	0	0	0.000486399521083548	0	0	0.0913308639203801	0	0.00295581247427695	0.000561230216634864	0	0	0	0	0	0	0.000972799042167097	0	0.836943914393684	0.021962809144311	0.000261907434429603	0.0277247727017623	0	0.000224492086653945	0	0	0	0.00624836307853481	0.00991506716054926	0	0	0	0	0.000187076738878288	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00014966139110263	3.74153477756576e-05	26727	Actinopteri	B.splendens
bos grunniens	GCA_005887515.1	2832776395	2832776395	NA	NA	NA	NA	NA	NA	NA	20967	4749	3021	1703	25	1208	49935	46048	NA	NA	NA	2832776395	2832711795	114386978	646	0	414	1060	44716738	20	19373331	7430771	11	75871366	57396858	31	0	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1698	0	748	25	0	0	0	0	0	0	371	0	20953	837	5	185	0	34	0	0	0	767	1265	0	0	1	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	8	14	0	0	0	0	0	0	0	0	0	0	0	0	0.000222849502302778	0	0	0.0630664091516862	0	0.027781904620413	0.000928539592928242	0	0	0	0	0	0	0.0137795275590551	0	0.778227603625019	0.0310875055712376	0.000185707918585648	0.00687119298766899	0	0.00126281384638241	0	0	0	0.0284875947110385	0.0469841034021691	0	0	3.71415837171297e-05	0	0.000185707918585648	0	7.42831674342594e-05	0	0	0	0	0	0	0	0	0	0	0	0.000297132669737038	0.000519982172039816	26924	Livestock	B.grunniens
bos mutus	GCA_000298355.1	2645161911	2645161911	NA	NA	NA	NA	NA	NA	NA	20847	4339	3019	936	384	586	40104	144992	NA	NA	NA	2645145588	2524990950	1407960	192006	0	41191	233197	22822	33281	12316	6371	568	694649	318919	0	0	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	928	0	669	384	2	22	0	0	0	0	72	0	20832	514	8	339	0	32	0	0	0	756	1196	3	0	1	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000194009002017694	0	0	0.0360080707744839	0	0.0259584044699674	0.0148998913549589	7.76036008070775e-05	0.000853639608877852	0	0	0	0	0.00279372962905479	0	0.808319106006519	0.0199441254074189	0.00031041440322831	0.0131538103367996	0	0.00124165761291324	0	0	0	0.0293341611050753	0.0464069532826323	0.000116405401210616	0	3.88018004035387e-05	0	0.000194009002017694	0	0.000155207201614155	0	0	0	0	0	0	0	0	0	0	0	0	0	25772	Mammalia	B.mutus
bos taurus	GCA_002263795.2	2715853792	2715853792	NA	NA	NA	NA	NA	NA	NA	21880	5235	3375	1488	372	492	43984	46441	96648582	18942	NA	2715853794	2715825632	103308737	386	0	2211	2597	25896116	32	14624078	4405175	12	69862954	51098607	31	1	0	0	0	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1480	0	951	372	2	22	0	0	0	0	99	0	21861	393	8	393	0	33	0	0	0	770	1201	3	0	1	0	5	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62226971420292e-05	0	0	0	0	0	0	0	7.24453942840584e-05	0	0	0.0536095917702032	0	0.0344477849820698	0.0134748433368349	7.24453942840584e-05	0.000796899337124642	0	0	0	0	0.00358604701706089	0	0.7918643822219	0.0142355199768175	0.000289781577136234	0.0142355199768175	0	0.00119534900568696	0	0	0	0.0278914767993625	0.0435034592675771	0.000108668091426088	0	3.62226971420292e-05	0	0.000181113485710146	0	0.000362226971420292	0	0	0	0	0	0	0	0	0	0	0	0	0	27607	Livestock	B.taurus
